[21h 26:36] POST /auth : 200
[21h 26:39] GET /orders : 200
[21h 26:39] GET /banques : 200
[21h 26:39] GET /users : 200
[21h 26:39] GET /tickets : 200
[21h 27:43] POST /auth : 200
[21h 27:46] GET /banques : 200
[21h 27:46] GET /orders : 200
[21h 27:46] GET /users : 200
[21h 27:46] GET /tickets : 200
[21h 28:26] POST /auth : 200
[21h 28:29] GET /orders : 200
[21h 28:29] GET /banques : 200
[21h 28:29] GET /users : 200
[21h 28:29] GET /tickets : 200
[21h 29:10] POST /auth : 200
[21h 29:13] GET /orders : 200
[21h 29:13] GET /banques : 200
[21h 29:13] GET /users : 200
[21h 29:13] GET /tickets : 200
[21h 29:46] POST /auth : 200
[21h 29:49] GET /orders : 200
[21h 29:49] GET /banques : 200
[21h 29:49] GET /users : 200
[21h 29:49] GET /tickets : 200
[21h 30:8] POST /orders : 200
[21h 31:44] POST /auth : 200
[21h 31:47] GET /orders : 200
[21h 31:47] GET /banques : 200
[21h 31:47] GET /users : 200
[21h 31:47] GET /tickets : 200
[21h 31:50] DESTROY /orders/1123334464366457056 : 200
[21h 32:19] POST /auth : 200
[21h 32:22] GET /orders : 200
[21h 32:22] GET /users : 200
[21h 32:22] GET /banques : 200
[21h 32:22] GET /tickets : 200
