[15h 25:12] POST /auth : 200
[15h 25:15] GET /orders : 200
[15h 25:15] GET /banques : 200
[15h 25:15] GET /users : 200
[15h 25:15] GET /tickets : 200
[15h 27:7] POST /auth : 200
[15h 27:10] GET /orders : 200
[15h 27:10] GET /banques : 200
[15h 27:10] GET /users : 200
[15h 27:10] GET /tickets : 200
[15h 27:14] POST /banques : 200
[15h 27:35] POST /auth : 200
[15h 27:38] GET /orders : 200
[15h 27:38] GET /banques : 200
[15h 27:38] GET /users : 200
[15h 27:38] GET /tickets : 200
[15h 27:57] POST /auth : 200
[15h 28:0] GET /orders : 200
[15h 28:0] GET /banques : 200
[15h 28:0] GET /users : 200
[15h 28:0] GET /tickets : 200
