[22h 57:5] POST /auth : 200
[22h 57:8] GET /orders : 200
[22h 57:8] GET /banques : 200
[22h 57:8] GET /users : 200
[22h 57:8] GET /tickets : 200
[22h 57:54] POST /auth : 200
[22h 57:57] GET /orders : 200
[22h 57:57] GET /users : 200
[22h 57:57] GET /banques : 200
[22h 57:57] GET /tickets : 200
[22h 58:15] POST /auth : 200
[22h 58:18] GET /banques : 200
[22h 58:18] GET /orders : 200
[22h 58:18] GET /users : 200
[22h 58:18] GET /tickets : 200
[22h 58:43] POST /users : 200
[22h 58:43] POST /users/670642326661496866/review : 500
[22h 59:28] POST /auth : 200
[22h 59:31] GET /orders : 200
[22h 59:31] GET /banques : 200
[22h 59:31] GET /users : 500
[22h 59:47] POST /auth : 200
[22h 59:50] GET /orders : 200
[22h 59:50] GET /users : 500
[23h 1:18] POST /auth : 200
[23h 1:21] GET /orders : 200
[23h 1:21] GET /banques : 200
[23h 1:21] GET /users : 200
[23h 1:21] GET /tickets : 200
[23h 1:24] POST /users : 200
[23h 1:24] POST /users/670642326661496866/review : 200
[23h 2:42] POST /auth : 200
[23h 2:45] GET /orders : 200
[23h 2:45] GET /banques : 200
[23h 2:45] GET /users : 200
[23h 3:41] POST /auth : 200
[23h 3:44] GET /banques : 200
[23h 3:44] GET /orders : 200
[23h 3:44] GET /users : 200
[23h 4:0] POST /auth : 200
[23h 4:3] GET /orders : 200
[23h 4:3] GET /banques : 200
[23h 4:3] GET /users : 200
[23h 4:4] GET /tickets : 200
[23h 4:16] POST /auth : 200
[23h 4:19] GET /orders : 200
[23h 4:19] GET /banques : 200
[23h 4:19] GET /users : 200
[23h 4:19] GET /tickets : 200
[23h 4:22] POST /users/670642326661496866/review : 200
[23h 4:22] PUT /users/670642326661496866 : 200
[23h 4:47] POST /auth : 200
[23h 4:48] POST /users : 200
[23h 4:48] POST /users/670642326661496866/review : 200
[23h 4:48] PUT /users/670642326661496866 : 200
[23h 4:50] GET /orders : 200
[23h 4:50] GET /banques : 200
[23h 4:50] GET /users : 200
[23h 4:50] GET /tickets : 200
[23h 5:24] POST /auth : 200
[23h 5:25] POST /users : 200
[23h 5:25] POST /users/670642326661496866/review : 200
[23h 5:25] PUT /users/670642326661496866 : 200
[23h 5:27] GET /orders : 200
[23h 5:27] GET /banques : 200
[23h 5:27] GET /users : 200
[23h 5:27] GET /tickets : 200
[23h 5:50] POST /auth : 200
[23h 5:53] GET /orders : 200
[23h 5:53] GET /banques : 200
[23h 5:53] GET /users : 200
[23h 5:53] GET /tickets : 200
[23h 5:55] POST /users/670642326661496866/review : 200
[23h 5:55] PUT /users/670642326661496866 : 200
[23h 6:42] POST /auth : 200
[23h 6:45] GET /orders : 200
[23h 6:45] GET /banques : 200
[23h 6:45] GET /users : 200
[23h 6:45] GET /tickets : 200
[23h 9:40] POST /auth : 200
[23h 9:43] GET /orders : 200
[23h 9:43] GET /banques : 200
[23h 9:43] GET /users : 200
[23h 9:43] GET /tickets : 200
[23h 9:43] POST /users : 200
[23h 9:43] POST /users/670642326661496866/review : 200
[23h 9:43] PUT /users/670642326661496866 : 200
[23h 9:55] POST /users/670642326661496866/review : 200
[23h 9:55] PUT /users/670642326661496866 : 200
[23h 10:13] POST /auth : 200
[23h 10:16] GET /orders : 200
[23h 10:16] GET /banques : 200
[23h 10:16] GET /users : 200
[23h 10:16] GET /tickets : 200
[23h 10:41] POST /auth : 200
[23h 10:44] GET /orders : 200
[23h 10:44] GET /banques : 200
[23h 10:44] GET /users : 200
[23h 10:44] GET /tickets : 200
[23h 11:9] POST /auth : 200
[23h 11:12] GET /orders : 200
[23h 11:12] GET /users : 200
[23h 11:12] GET /banques : 200
[23h 11:12] GET /tickets : 200
[23h 11:39] POST /auth : 200
[23h 11:42] GET /orders : 200
[23h 11:42] GET /banques : 200
[23h 11:42] GET /users : 200
[23h 11:42] GET /tickets : 200
[23h 11:49] POST /auth : 200
[23h 11:52] GET /orders : 200
[23h 11:52] GET /users : 200
[23h 11:52] GET /banques : 200
[23h 11:52] GET /tickets : 200
[23h 12:8] POST /users/670642326661496866/review : 200
[23h 12:8] PUT /users/670642326661496866 : 200
[23h 12:23] POST /users/670642326661496866/review : 200
[23h 12:23] PUT /users/670642326661496866 : 200
[23h 28:50] POST /auth : 200
[23h 28:53] GET /orders : 200
[23h 28:53] GET /banques : 200
[23h 28:53] GET /users : 200
[23h 29:15] POST /auth : 200
[23h 29:18] GET /orders : 200
[23h 29:18] GET /banques : 200
[23h 29:18] GET /users : 200
[23h 29:18] GET /tickets : 200
[23h 29:28] POST /auth : 200
[23h 29:31] GET /banques : 200
[23h 29:31] GET /orders : 200
[23h 29:31] GET /users : 200
[23h 29:31] GET /tickets : 200
[23h 29:38] DESTROY /users/670642326661496866/reviews/4 : 404
[23h 30:49] POST /auth : 200
[23h 30:52] GET /orders : 200
[23h 30:52] GET /banques : 200
[23h 30:52] GET /users : 200
[23h 30:52] GET /tickets : 200
[23h 32:22] POST /auth : 200
[23h 32:25] GET /orders : 200
[23h 32:25] GET /banques : 200
[23h 32:25] GET /users : 200
[23h 32:25] GET /tickets : 200
[23h 32:52] POST /auth : 200
[23h 32:55] GET /orders : 200
[23h 32:55] GET /users : 200
[23h 32:56] GET /banques : 200
[23h 32:56] GET /tickets : 200
[23h 33:17] POST /auth : 200
[23h 33:20] GET /orders : 200
[23h 33:20] GET /users : 200
[23h 33:20] GET /banques : 200
[23h 33:20] GET /tickets : 200
[23h 34:5] POST /auth : 200
[23h 34:8] GET /orders : 200
[23h 34:8] GET /banques : 200
