[17h 21:44] POST /auth (200)
[17h 21:47] GET /tickets : 200
[17h 21:47] GET /invites : 200
[17h 21:47] GET /giveaways/ : 200
[17h 24:41] DESTROY /staffconnexion/670642326661496866 : 200
[17h 36:1] DESTROY /staffconnexion/670642326661496866 : 200
[17h 38:8] DESTROY /staffconnexion/670642326661496866 : 200
[17h 38:43] DESTROY /staffconnexion/670642326661496866 : 200
[17h 53:5] DESTROY /staffconnexion/670642326661496866 : 200
[19h 44:33] DESTROY /staffconnexion/670642326661496866 : 200
[19h 45:33] DESTROY /staffconnexion/670642326661496866 : 200
[20h 23:47] DESTROY /staffconnexion/670642326661496866 : 200
[20h 32:14] DESTROY /staffconnexion/670642326661496866 : 200
[20h 33:12] DESTROY /staffconnexion/670642326661496866 : 200
[20h 34:54] DESTROY /staffconnexion/670642326661496866 : 200
[21h 8:13] DESTROY /staffconnexion/670642326661496866 : 200
[21h 8:22] DESTROY /staffconnexion/670642326661496866 : 200
[21h 8:31] DESTROY /staffconnexion/670642326661496866 : 200
[21h 8:47] DESTROY /staffconnexion/670642326661496866 : 200
