[12h 46:16] POST /auth : 500
[12h 47:6] POST /auth : 200
[12h 47:9] GET /orders : 200
[12h 47:9] GET /banques : 200
[12h 47:9] GET /users : 200
[12h 47:9] GET /tickets : 200
[12h 47:50] POST /auth : 200
[12h 47:53] GET /orders : 200
[12h 47:53] GET /banques : 200
[12h 47:53] GET /users : 200
[12h 47:53] GET /tickets : 200
[12h 48:20] POST /auth : 200
[12h 48:23] GET /orders : 200
[12h 48:23] GET /banques : 200
[12h 48:23] GET /users : 200
[12h 48:23] GET /tickets : 200
[12h 49:19] POST /auth : 200
[12h 49:22] GET /banques : 200
[12h 49:22] GET /orders : 200
[12h 49:22] GET /users : 200
[12h 49:22] GET /tickets : 200
[12h 49:59] POST /auth : 200
[12h 50:2] GET /orders : 200
[12h 50:2] GET /banques : 200
[12h 50:2] GET /users : 200
[12h 50:2] GET /tickets : 200
[12h 50:56] POST /auth : 200
[12h 50:59] GET /banques : 200
[12h 50:59] GET /orders : 200
[12h 50:59] GET /users : 200
[12h 50:59] GET /tickets : 200
[12h 53:32] POST /auth : 200
[12h 53:35] GET /orders : 200
[12h 53:35] GET /banques : 200
[12h 53:35] GET /users : 200
[12h 53:35] GET /tickets : 200
[23h 57:37] POST /auth : 200
[23h 57:40] GET /orders : 200
[23h 57:40] GET /banques : 200
[23h 57:40] GET /users : 200
[23h 57:40] GET /tickets : 200
[23h 58:36] POST /orders : 200
[23h 59:17] POST /auth : 200
[23h 59:20] GET /orders : 200
[23h 59:20] GET /banques : 200
[23h 59:20] GET /users : 200
[23h 59:20] GET /tickets : 200
[23h 59:39] POST /orders : 200
